experiment_reldir,diameter(mm)
9.470mm/0,9.47
9.470mm/1,9.47
9.470mm/2,9.47
9.470mm/3,9.47
9.470mm/4,9.47
9.470mm/5,9.47
9.470mm/6,9.47
9.470mm/7,9.47
9.470mm/8,9.47
9.470mm/9,9.47
9.470mm/10,9.47
9.470mm/11,9.47
9.470mm/12,9.47
9.470mm/13,9.47
9.470mm/14,9.47
9.470mm/15,9.47
9.470mm/16,9.47
9.470mm/17,9.47
9.470mm/18,9.47
9.470mm/19,9.47
9.470mm/20,9.47
9.470mm/21,9.47
9.470mm/22,9.47
9.470mm/23,9.47
9.470mm/24,9.47
9.470mm/25,9.47
9.470mm/26,9.47
9.470mm/27,9.47
9.470mm/28,9.47
9.470mm/29,9.47
9.470mm/30,9.47
9.470mm/31,9.47
9.470mm/32,9.47
9.470mm/33,9.47
9.470mm/34,9.47
9.470mm/35,9.47
9.470mm/36,9.47
9.470mm/37,9.47
9.470mm/38,9.47
9.470mm/39,9.47
9.470mm/40,9.47
9.470mm/41,9.47
9.470mm/42,9.47
9.470mm/43,9.47
9.470mm/44,9.47
9.470mm/45,9.47
9.470mm/46,9.47
9.470mm/47,9.47
9.470mm/48,9.47
9.470mm/49,9.47
9.470mm/50,9.47
